Sistema,Area,Generacion (MWh),Importacion Total (MWh),Exportacion Total (MWh),Intercambio neto entre Gerencias (MWh),Estimacion de Demanda por Balance (MWh),Pronostico (MWh),Timestamp,fecha,hora,anio,mes,dia_semana
SIN,OCC,3269.58909,0.0,0.0,2389.952,5659.54109,5915.758,2020-01-01 00:00:00,2020-01-01,0,2020,1,Wednesday
SIN,OCC,3251.92533,0.0,0.0,2223.747,5475.67233,5752.314,2020-01-01 01:00:00,2020-01-01,1,2020,1,Wednesday
SIN,OCC,3324.54144,0.0,0.0,1931.442,5255.98344,5566.535,2020-01-01 02:00:00,2020-01-01,2,2020,1,Wednesday
SIN,OCC,3318.09918,0.0,0.0,1759.341,5077.44018,5385.318,2020-01-01 03:00:00,2020-01-01,3,2020,1,Wednesday
SIN,OCC,3403.84801,0.0,0.0,1525.132,4928.98001,5288.158,2020-01-01 04:00:00,2020-01-01,4,2020,1,Wednesday
SIN,OCC,3517.00386,0.0,0.0,1335.314,4852.31786,5222.642,2020-01-01 05:00:00,2020-01-01,5,2020,1,Wednesday
SIN,OCC,3565.81888,0.0,0.0,1295.742,4861.56088,5223.77,2020-01-01 06:00:00,2020-01-01,6,2020,1,Wednesday
SIN,OCC,3546.88085,0.0,0.0,1147.696,4694.57685,5078.034,2020-01-01 07:00:00,2020-01-01,7,2020,1,Wednesday
SIN,OCC,3646.3394,0.0,0.0,1020.633,4666.9724,5064.104,2020-01-01 08:00:00,2020-01-01,8,2020,1,Wednesday
SIN,OCC,3818.05226,0.0,0.0,975.965,4794.01726,5178.419,2020-01-01 09:00:00,2020-01-01,9,2020,1,Wednesday
SIN,OCC,4123.28606,0.0,0.0,827.804,4951.09006,5308.778,2020-01-01 10:00:00,2020-01-01,10,2020,1,Wednesday
SIN,OCC,4136.86944,0.0,0.0,957.083,5093.95244,5433.85,2020-01-01 11:00:00,2020-01-01,11,2020,1,Wednesday
SIN,OCC,4342.36759,0.0,0.0,862.496,5204.86359,5484.94,2020-01-01 12:00:00,2020-01-01,12,2020,1,Wednesday
SIN,OCC,4277.06852,0.0,0.0,926.111,5203.17952,5507.832,2020-01-01 13:00:00,2020-01-01,13,2020,1,Wednesday
SIN,OCC,4212.14622,0.0,0.0,1005.755,5217.90122,5516.473,2020-01-01 14:00:00,2020-01-01,14,2020,1,Wednesday
SIN,OCC,4155.893,0.0,0.0,1071.975,5227.868,5589.901,2020-01-01 15:00:00,2020-01-01,15,2020,1,Wednesday
SIN,OCC,4097.68646,0.0,0.0,1112.293,5209.97946,5627.197,2020-01-01 16:00:00,2020-01-01,16,2020,1,Wednesday
SIN,OCC,3884.5191,0.0,0.0,1409.757,5294.2761,5716.637,2020-01-01 17:00:00,2020-01-01,17,2020,1,Wednesday
SIN,OCC,3905.30027,0.0,0.0,1959.25,5864.55027,6268.8,2020-01-01 18:00:00,2020-01-01,18,2020,1,Wednesday
SIN,OCC,4286.55378,0.0,0.0,1958.52,6245.07378,6773.226,2020-01-01 19:00:00,2020-01-01,19,2020,1,Wednesday
SIN,OCC,4153.0702,0.0,0.0,2049.932,6203.0022,6746.392,2020-01-01 20:00:00,2020-01-01,20,2020,1,Wednesday
SIN,OCC,4051.34601,0.0,0.0,1984.063,6035.40901,6636.277,2020-01-01 21:00:00,2020-01-01,21,2020,1,Wednesday
SIN,OCC,3764.74708,0.0,0.0,2068.622,5833.36908,6357.704,2020-01-01 22:00:00,2020-01-01,22,2020,1,Wednesday
SIN,OCC,3577.44787,0.0,0.0,1916.88,5494.32787,6013.844,2020-01-01 23:00:00,2020-01-01,23,2020,1,Wednesday
SIN,OCC,3584.63513,0.0,0.0,1639.159,5223.79413,5854.445,2020-01-02 00:00:00,2020-01-02,0,2020,1,Thursday
SIN,OCC,3694.76827,0.0,0.0,1363.383,5058.15127,5713.874,2020-01-02 01:00:00,2020-01-02,1,2020,1,Thursday
SIN,OCC,3663.55229,0.0,0.0,1271.956,4935.50829,5576.897,2020-01-02 02:00:00,2020-01-02,2,2020,1,Thursday
SIN,OCC,3654.48173,0.0,0.0,1239.216,4893.69773,5557.015,2020-01-02 03:00:00,2020-01-02,3,2020,1,Thursday
SIN,OCC,3638.91982,0.0,0.0,1294.975,4933.89482,5622.522,2020-01-02 04:00:00,2020-01-02,4,2020,1,Thursday
SIN,OCC,3779.45703,0.0,0.0,1317.317,5096.77403,5788.783,2020-01-02 05:00:00,2020-01-02,5,2020,1,Thursday
SIN,OCC,3812.31356,0.0,0.0,1761.644,5573.95756,6139.451,2020-01-02 06:00:00,2020-01-02,6,2020,1,Thursday
SIN,OCC,3785.23205,0.0,0.0,2355.935,6141.16705,6606.274,2020-01-02 07:00:00,2020-01-02,7,2020,1,Thursday
SIN,OCC,4093.59378,0.0,0.0,2476.629,6570.22278,7118.311,2020-01-02 08:00:00,2020-01-02,8,2020,1,Thursday
SIN,OCC,4604.29898,0.0,0.0,2452.69,7056.98898,7543.252,2020-01-02 09:00:00,2020-01-02,9,2020,1,Thursday
SIN,OCC,4910.07166,0.0,0.0,2325.717,7235.78866,7749.282,2020-01-02 10:00:00,2020-01-02,10,2020,1,Thursday
SIN,OCC,4909.66487,0.0,0.0,2346.646,7256.31087,7855.196,2020-01-02 11:00:00,2020-01-02,11,2020,1,Thursday
SIN,OCC,5014.90939,0.0,0.0,2294.254,7309.16339,7967.519,2020-01-02 12:00:00,2020-01-02,12,2020,1,Thursday
SIN,OCC,5088.14898,0.0,0.0,2212.045,7300.19398,7990.329,2020-01-02 13:00:00,2020-01-02,13,2020,1,Thursday
SIN,OCC,5231.82945,0.0,0.0,2059.048,7290.87745,7969.924,2020-01-02 14:00:00,2020-01-02,14,2020,1,Thursday
SIN,OCC,5242.65627,0.0,0.0,2090.561,7333.21727,7988.037,2020-01-02 15:00:00,2020-01-02,15,2020,1,Thursday
SIN,OCC,4952.79332,0.0,0.0,2454.92,7407.71332,7995.885,2020-01-02 16:00:00,2020-01-02,16,2020,1,Thursday
SIN,OCC,4422.4255,0.0,0.0,2882.448,7304.8735,7940.289,2020-01-02 17:00:00,2020-01-02,17,2020,1,Thursday
SIN,OCC,4824.99219,0.0,0.0,2631.828,7456.82019,7952.63,2020-01-02 18:00:00,2020-01-02,18,2020,1,Thursday
